epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,660.822,2.78302,1.55537,0.9995,0.05925,0.39253,0.042,0.01288,2.19543,14.875,0.83195,0.008911,0.008911,0.008911
57,672.585,2.78548,1.56164,0.97816,0.06192,0.24251,0.03815,0.01334,2.45178,18.0509,0.85713,0.0088912,0.0088912,0.0088912
58,684.191,2.78786,1.56458,0.9964,0.05928,0.23564,0.03747,0.01119,2.59261,12.5793,0.89524,0.0088714,0.0088714,0.0088714
59,695.844,2.73825,1.54578,0.98286,0.05272,0.27153,0.03623,0.00961,2.15621,16.0425,0.86107,0.0088516,0.0088516,0.0088516
60,707.451,2.80738,1.57102,0.98081,0.05845,0.25669,0.03668,0.01202,2.25747,16.1167,0.85164,0.0088318,0.0088318,0.0088318
61,719.183,2.8369,1.58229,0.99157,0.06071,0.22832,0.04173,0.01285,2.31862,14.5734,0.85801,0.008812,0.008812,0.008812
62,730.776,2.80099,1.55171,0.9753,0.04443,0.31852,0.02959,0.00852,2.29418,16.4886,0.85497,0.0087922,0.0087922,0.0087922
63,742.372,2.75277,1.5256,1.00002,0.05055,0.21094,0.03691,0.01359,2.42521,16.8236,0.87468,0.0087724,0.0087724,0.0087724
64,753.955,2.83839,1.56149,0.99206,0.07885,0.30679,0.05335,0.01517,2.25537,15.3734,0.84883,0.0087526,0.0087526,0.0087526
65,765.591,2.75085,1.49865,0.99113,0.06115,0.28918,0.04146,0.01308,2.32331,16.8471,0.86541,0.0087328,0.0087328,0.0087328
66,777.244,2.73766,1.52905,0.99553,0.07957,0.17136,0.04415,0.01607,1.99536,14.3904,0.82985,0.008713,0.008713,0.008713
67,788.887,2.78857,1.52262,0.99654,0.05793,0.25006,0.04104,0.01419,1.96036,17.8642,0.82146,0.0086932,0.0086932,0.0086932
68,800.49,2.72721,1.55618,0.98049,0.06153,0.23542,0.03877,0.0127,2.19622,14.7147,0.83301,0.0086734,0.0086734,0.0086734
69,812.175,2.74038,1.55279,0.9854,0.06232,0.26744,0.04164,0.01417,2.29236,16.5662,0.84844,0.0086536,0.0086536,0.0086536
70,823.75,2.733,1.52784,0.98748,0.06285,0.27872,0.04395,0.01251,2.29113,14.5146,0.85314,0.0086338,0.0086338,0.0086338
71,835.39,2.73612,1.50207,0.97767,0.07138,0.29238,0.0452,0.01543,2.04544,15.354,0.85473,0.008614,0.008614,0.008614
